id;Language;Name;Translation;FontSize
0;tr;Hello World;Merhaba Dunya;63
1;tr;Hello World;Merhaba Dunya;63
2;tr;Hello World;Merhaba Dunya;63
3;tr;Hello World;Merhaba Dunya;63
4;tr;Hello World;Merhaba Dunya;63
5;tr;Hello World;Merhaba Dunya;63
6;tr;Hello World;Merhaba Dunya;63
7;tr;Hello World;Merhaba Dunya;63
8;tr;Hello World;Merhaba Dunya;63
9;en;Hello World;Hello World;63
10;en;Hello World;Hello World;63
11;en;Hello World;Hello World;63
12;en;Hello World;Hello World;63
13;en;Hello World;Hello World;63
14;en;Hello World;Hello World;63
15;en;Hello World;Hello World;63
16;en;Hello World;Hello World;63
